ec_time,ec_mem,overall_lat,emu_startup,rewind,emu_reset,replay,rewind_injections,pkt_lat,drop_lat,timeout,apps,hosts,procs,drop_method,fault,num_nodes,num_links,num_updates,total_conn,invariant,independent_cec,violated,total_time,total_mem
882294,370988,259703,220190,48,0,0,-1,168,0,358,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
983319,370988,583092,541158,108,0,0,-1,280,0,250,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
983319,370988,297146,275815,30,0,0,-1,73,0,437,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
1055733,370988,743561,712762,36,0,0,-1,228,0,250,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
1055733,370988,254795,238727,21,0,0,-1,60,0,376,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
873163,370988,262853,239476,26,0,0,-1,108,0,250,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
873163,370988,539277,493077,26,0,0,-1,80,0,237,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
873839,370988,238306,213068,39,0,0,-1,126,0,250,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
873839,370988,565299,519497,25,0,0,-1,77,0,256,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
1485923,370988,825961,779430,41,0,0,-1,127,0,250,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
1485923,370988,609172,588866,39,0,0,-1,95,0,256,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
981885,370988,211653,191352,40,0,0,-1,100,0,250,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
981885,370988,717429,687795,40,0,0,-1,266,0,226,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
989617,370988,570121,527781,81,0,0,-1,166,0,250,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
989617,370988,396819,349710,24,0,0,-1,86,0,304,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
992847,370988,262186,226272,27,0,0,-1,110,0,250,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
992847,370988,684975,640414,136,0,0,-1,136,0,238,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
1293006,370988,465989,449818,24,0,0,-1,97,0,250,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
1293006,370988,793167,764456,38,0,0,-1,101,0,225,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
1063751,370988,728803,689759,31,0,0,-1,231,0,250,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
1063751,370988,279240,257426,18,0,0,-1,48,0,382,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
1001229,370988,390318,371313,55,0,0,-1,148,0,250,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
